episode,reward
167,-1024.151833180555
168,-955.952751670035
169,-2360.924777804934
170,-1234.7458881751909
171,-894.431983492065
172,-1396.0994444338517
173,-1154.4942103719536
174,-975.0055477510105
175,-934.9296632630497
176,-1094.7040200851334
177,-934.8571475225472
178,-905.1986552186046
179,-1060.818360142181
180,-880.3357878885348
181,-967.459625518024
182,-821.3177950030415
183,-848.2533599849324
184,-1138.7468094712115
185,-1483.829967398855
186,-1130.3027237079118
187,-823.4636740337353
188,-720.9682181979846
189,-720.9191899077653
190,-2048.84029551637
191,-1977.0531480496293
192,-828.0873327881333
193,-402.5432794662283
194,-607.9999122404419
195,-995.5869032896778
196,-608.1987286864403
197,-864.0479227706379
198,-763.9517653299471
199,-1321.4857721523852
200,-784.3848392509251
201,-506.27543888901494
202,-462.43647312264744
203,-595.814035791501
204,-797.9298945561083
205,-300.93885937304856
206,18.22600658604049
207,-277.39315726334235
208,-324.5583714359337
209,-478.1815064099601
210,-75.02643890921581
211,-501.3986693195652
212,-318.1063955606314
213,-333.20127467644846
214,-62.61582733342034
215,-272.31562484379083
216,-100.5887226137771
217,-219.8957003850859
218,-402.5421222036834
219,-247.09868423452576
220,-437.39252780534764
221,-98.16390418505024
222,-1897.2861858127746
223,-24.61727330915717
224,34.7236531234669
225,28.611039881314056
226,-40.622386271022066
227,-96.33807778027729
228,15.697544996840001
229,-66.83502014512396
230,-50.62999881868774
231,-3830.392682590733
232,-391.68929521543953
233,28.51325601565568
234,-272.0363772488637
235,-130.12899531185028
236,-53.69450545592318
237,4.196679228921425
238,-34.22942766967942
239,-198.6915130195071
240,-128.5513837497774
241,-190.83028797043096
242,-126.62503979697463
243,-390.2948751319244
244,-207.01829224890133
245,-268.22571101389815
246,-286.48475280623893
247,-183.974239440958
248,-227.0516208352468
249,-349.72869494897407
250,-105.60063362888204
251,-402.28217651723276
252,-190.15252627670108
253,-391.8726952402884
254,-175.92927769530857
255,-936.020929817487
256,-209.83487270374923
257,-49.82495421373979
258,-3565.8996305250284
259,-111.3048868931638
260,-2856.7844377497145
261,-389.8365867643947
262,-1524.3770715405442
263,-476.0073087197594
264,-911.3019125372456
265,-578.224645288704
266,-425.535882748876
267,-267.1973226578359
268,-246.35615630008448
269,-257.87179962431196
270,-346.4275563248542
271,-374.71907164910976
272,-282.60940715149604
273,-2555.751661161235
274,-1369.5604335371681
275,-1878.3568437961997
276,-2142.8138564011106
277,-738.7955450211904
278,-1324.6022497502859
279,-1042.737482792354
280,-1135.7056938353246
281,-944.675081006802
282,-220.52237882325397
283,-761.2633772064248
284,-884.6855155931319
285,-881.1113352612491
286,-872.4894761923861
287,-293.34496708978594
288,-382.968790266282
289,-833.9672010014538
290,-785.6470110647522
291,-743.410486589157
292,-714.6984992049329
293,-694.694440329893
294,-324.63087306061766
295,-324.2174917588471
296,-535.0768169991528
297,-334.4464245475354
298,-96.14611485220489
299,-882.43454979734
300,-883.2969973065833
301,-894.9020598947238
302,-880.4276622260952
303,-752.2291629142992
304,-255.6887297448974
305,-914.114770389432
306,-372.33125171707735
307,-1146.4117190023633
308,-305.4267124350516
309,-980.268656560451
310,-832.4994741920144
311,-942.4627815974262
312,-882.0490141835222
313,-1348.8945769040283
314,-1082.7112219871951
315,-252.96621711429077
316,-984.3198859641606
317,-294.07387973542814
318,-162.40292901153572
319,-215.55452106813388
320,-194.56227546308384
321,-214.26481943073162
322,-214.11997942320363
323,-273.9161383834369
324,-255.42500691456513
325,-215.1486489654166
326,-215.34706492993524
327,-213.99830501435173
328,-285.88895892440775
329,-203.69402128323557
330,-424.00768217914043
331,-426.0805554274269
332,-446.5889073832174
333,-221.72617090837605
334,-255.8839131331335
335,-244.9409840406326
336,-203.36259146412945
337,-215.00777817951916
338,-205.0120175706969
339,-194.772287030326
340,-225.03561726733756
341,-184.227534268257
342,-184.64796783717344
343,-254.2279936727659
344,-254.7726289445576
345,-275.4736961460019
346,-204.2630166112245
347,-214.86912096803565
348,-295.92235254951174
349,-253.905601277418
350,-225.57653850766596
351,-214.96495740675323
352,-223.25086987731757
353,-344.64877705353047
354,-335.2769803975301
355,-301.21212644230474
356,-325.2341199349095
357,-315.51712026898247
358,-530.8560065224185
359,-326.0190040713214
360,-316.739675970819
361,-246.26739339443748
362,-347.12456679303693
363,-316.4556888419845
364,-356.9871580127606
365,-387.30676302993356
366,-277.0132306612021
367,-317.9207184416989
368,-437.1133777553946
369,-216.37161224687992
370,-367.46586570808523
371,-357.3588688543045
372,-338.5147355352343
373,-379.38038338124284
374,-298.2804716759159
375,-307.54429581050186
376,-378.3678981480172
377,-319.7467472897102
378,-367.5736805364776
379,-296.7378637065849
380,-498.06346350068293
381,-408.29828910795334
382,-598.7564085934013
383,-630.474722654946
384,-743.870662374745
385,-613.0541900020157
386,-839.6095379520305
387,-435.5453409833929
388,-790.4247149422024
389,-606.0681841378984
390,-940.5651047681346
391,-660.3418260692649
392,-606.6113580180161
393,-625.8882479358059
394,-775.6055381455071
395,-677.0698645763612
396,-614.3523643420801
397,-902.9523132919173
398,-635.6295336639143
399,-802.4305204793225
400,-1115.7929372887331
401,-436.2614710936689
402,-1570.785794010804
403,-1681.4644704113593
404,-1353.4974898609364
405,-3304.9851364183387
406,-730.7722852310434
407,-2817.0273999933925
408,-2072.373883079943
